YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
2022,1,1,6,MIA,ALB,1950,2000.0,10.0,2257,2258.0,1.0
2022,1,1,6,MIA,ATL,700,657.0,0.0,901,846.0,-15.0
2022,1,1,6,MIA,ATL,825,824.0,0.0,1025,1006.0,-19.0
2022,1,1,6,MIA,ATL,1005,1000.0,0.0,1219,1159.0,-20.0
2022,1,1,6,MIA,ATL,1018,1013.0,0.0,1215,1157.0,-18.0
2022,1,1,6,MIA,ATL,1351,1439.0,48.0,1545,1623.0,38.0
2022,1,1,6,MIA,ATL,1526,1604.0,38.0,1723,1743.0,20.0
2022,1,1,6,MIA,ATL,1544,1541.0,0.0,1747,1730.0,-17.0
2022,1,1,6,MIA,ATL,1700,1722.0,22.0,1858,1903.0,5.0
2022,1,1,6,MIA,ATL,1726,1730.0,4.0,1925,1918.0,-7.0
2022,1,1,6,MIA,ATL,1745,1820.0,35.0,1945,2021.0,36.0
2022,1,1,6,MIA,ATL,1800,1753.0,0.0,1958,1939.0,-19.0
2022,1,1,6,MIA,ATL,1903,1929.0,26.0,2102,2112.0,10.0
2022,1,1,6,MIA,ATL,1905,1914.0,9.0,2106,2100.0,-6.0
2022,1,1,6,MIA,ATL,2120,2129.0,9.0,2329,2319.0,-10.0
2022,1,1,6,MIA,ATL,2222,2217.0,0.0,20,8.0,-12.0
2022,1,1,6,MIA,AUS,1100,1053.0,0.0,1331,1257.0,-34.0
2022,1,1,6,MIA,AUS,1310,1308.0,0.0,1520,1458.0,-22.0
2022,1,1,6,MIA,AUS,1340,1358.0,18.0,1549,1549.0,0.0
2022,1,1,6,MIA,BDL,1312,1325.0,13.0,1610,1632.0,22.0
2022,1,1,6,MIA,BDL,1340,1413.0,33.0,1639,1702.0,23.0
2022,1,1,6,MIA,BDL,1837,1836.0,0.0,2134,2137.0,3.0
2022,1,1,6,MIA,BHM,1633,1632.0,0.0,1736,1734.0,-2.0
2022,1,1,6,MIA,BHM,2238,2243.0,5.0,2340,2341.0,1.0
2022,1,1,6,MIA,BNA,725,725.0,0.0,845,833.0,-12.0
2022,1,1,6,MIA,BNA,1433,1431.0,0.0,1602,1543.0,-19.0
2022,1,1,6,MIA,BNA,1935,1941.0,6.0,2100,2107.0,7.0
2022,1,1,6,MIA,BNA,2030,2024.0,0.0,2153,2153.0,0.0
2022,1,1,6,MIA,BNA,2239,2234.0,0.0,7,2344.0,-23.0
2022,1,1,6,MIA,BOS,600,556.0,0.0,912,903.0,-9.0
2022,1,1,6,MIA,BOS,637,633.0,0.0,949,940.0,-9.0
2022,1,1,6,MIA,BOS,835,829.0,0.0,1150,1132.0,-18.0
2022,1,1,6,MIA,BOS,1045,1111.0,26.0,1409,1422.0,13.0
2022,1,1,6,MIA,BOS,1210,1209.0,0.0,1522,1509.0,-13.0
2022,1,1,6,MIA,BOS,1252,1247.0,0.0,1619,1552.0,-27.0
2022,1,1,6,MIA,BOS,1255,1313.0,18.0,1611,1615.0,4.0
2022,1,1,6,MIA,BOS,1306,1300.0,0.0,1612,1607.0,-5.0
2022,1,1,6,MIA,BOS,1347,1340.0,0.0,1706,1634.0,-32.0
2022,1,1,6,MIA,BOS,1946,1948.0,2.0,2307,2241.0,-26.0
